STDR_YM_CD,RD_LINK_ID,SIGNGU_CD,ADSTRD_CD,DAYWEEK_CD,AGRDE_CD,TMZON_CD,FLPOP_CO
201507,122566,11560,11560540,2,60,02,16
201507,122566,11560,11560540,2,60,03,21
201507,122566,11560,11560540,2,60,04,15
201507,122566,11560,11560540,2,60,05,8
201507,122566,11560,11560540,2,60,06,1
201507,122807,11560,11560540,1,00,00,1174
201507,122807,11560,11560540,1,00,01,11
201507,122807,11560,11560540,1,00,02,201
201507,122807,11560,11560540,1,00,03,274
201507,122807,11560,11560540,1,00,04,294
201507,122807,11560,11560540,1,00,05,309
201507,122807,11560,11560540,1,00,06,85
201507,122807,11560,11560540,1,10,00,14
201507,122807,11560,11560540,1,10,01,0
201507,122807,11560,11560540,1,10,02,0
201507,122807,11560,11560540,1,10,03,2
201507,122807,11560,11560540,1,10,04,3
201507,122807,11560,11560540,1,10,05,6
201507,122807,11560,11560540,1,10,06,3
201507,122807,11560,11560540,1,20,00,145
201507,122807,11560,11560540,1,20,01,2
201507,122807,11560,11560540,1,20,02,21
201507,122807,11560,11560540,1,20,03,29
201507,122807,11560,11560540,1,20,04,31
201507,122807,11560,11560540,1,20,05,45
201507,122807,11560,11560540,1,20,06,18
201507,122807,11560,11560540,1,30,00,342
201507,122807,11560,11560540,1,30,01,3
201507,122807,11560,11560540,1,30,02,58
201507,122807,11560,11560540,1,30,03,79
201507,122807,11560,11560540,1,30,04,85
201507,122807,11560,11560540,1,30,05,95
201507,122807,11560,11560540,1,30,06,23
201507,122807,11560,11560540,1,40,00,336
201507,122807,11560,11560540,1,40,01,3
201507,122807,11560,11560540,1,40,02,58
201507,122807,11560,11560540,1,40,03,79
201507,122807,11560,11560540,1,40,04,89
201507,122807,11560,11560540,1,40,05,88
201507,122807,11560,11560540,1,40,06,20
201507,122807,11560,11560540,1,50,00,232
201507,122807,11560,11560540,1,50,01,2
201507,122807,11560,11560540,1,50,02,43
201507,122807,11560,11560540,1,50,03,56
201507,122807,11560,11560540,1,50,04,60
201507,122807,11560,11560540,1,50,05,55
201507,122807,11560,11560540,1,50,06,16
201507,122807,11560,11560540,1,60,00,105
201507,122807,11560,11560540,1,60,01,0
201507,122807,11560,11560540,1,60,02,21
201507,122807,11560,11560540,1,60,03,29
201507,122807,11560,11560540,1,60,04,28
201507,122807,11560,11560540,1,60,05,21
201507,122807,11560,11560540,1,60,06,5
201507,122807,11560,11560540,2,00,00,564
201507,122807,11560,11560540,2,00,01,14
201507,122807,11560,11560540,2,00,02,88
201507,122807,11560,11560540,2,00,03,138
201507,122807,11560,11560540,2,00,04,145
201507,122807,11560,11560540,2,00,05,142
201507,122807,11560,11560540,2,00,06,37
201507,122807,11560,11560540,2,10,00,27
201507,122807,11560,11560540,2,10,01,0
201507,122807,11560,11560540,2,10,02,3
201507,122807,11560,11560540,2,10,03,6
201507,122807,11560,11560540,2,10,04,6
201507,122807,11560,11560540,2,10,05,9
201507,122807,11560,11560540,2,10,06,3
201507,122807,11560,11560540,2,20,00,88
201507,122807,11560,11560540,2,20,01,4
201507,122807,11560,11560540,2,20,02,6
201507,122807,11560,11560540,2,20,03,13
201507,122807,11560,11560540,2,20,04,21
201507,122807,11560,11560540,2,20,05,32
201507,122807,11560,11560540,2,20,06,12
201507,122807,11560,11560540,2,30,00,140
201507,122807,11560,11560540,2,30,01,3
201507,122807,11560,11560540,2,30,02,16
201507,122807,11560,11560540,2,30,03,33
201507,122807,11560,11560540,2,30,04,39
201507,122807,11560,11560540,2,30,05,39
201507,122807,11560,11560540,2,30,06,9
201507,122807,11560,11560540,2,40,00,123
201507,122807,11560,11560540,2,40,01,3
201507,122807,11560,11560540,2,40,02,20
201507,122807,11560,11560540,2,40,03,32
201507,122807,11560,11560540,2,40,04,33
201507,122807,11560,11560540,2,40,05,29
201507,122807,11560,11560540,2,40,06,6
201507,122807,11560,11560540,2,50,00,113
201507,122807,11560,11560540,2,50,01,3
201507,122807,11560,11560540,2,50,02,23
201507,122807,11560,11560540,2,50,03,30
201507,122807,11560,11560540,2,50,04,28
201507,122807,11560,11560540,2,50,05,23
201507,122807,11560,11560540,2,50,06,6
201507,122807,11560,11560540,2,60,00,73
201507,122807,11560,11560540,2,60,01,1
201507,122807,11560,11560540,2,60,02,19
201507,122807,11560,11560540,2,60,03,24
201507,122807,11560,11560540,2,60,04,18
201507,122807,11560,11560540,2,60,05,11
201507,122807,11560,11560540,2,60,06,1
201507,122809,11560,11560540,1,00,00,1518
201507,122809,11560,11560540,1,00,01,17
201507,122809,11560,11560540,1,00,02,231
201507,122809,11560,11560540,1,00,03,400
201507,122809,11560,11560540,1,00,04,385
201507,122809,11560,11560540,1,00,05,382
201507,122809,11560,11560540,1,00,06,102
201507,122809,11560,11560540,1,10,00,4
201507,122809,11560,11560540,1,10,01,0
201507,122809,11560,11560540,1,10,02,0
201507,122809,11560,11560540,1,10,03,1
201507,122809,11560,11560540,1,10,04,1
201507,122809,11560,11560540,1,10,05,1
201507,122809,11560,11560540,1,10,06,0
201507,122809,11560,11560540,1,20,00,227
201507,122809,11560,11560540,1,20,01,3
201507,122809,11560,11560540,1,20,02,33
201507,122809,11560,11560540,1,20,03,57
201507,122809,11560,11560540,1,20,04,54
201507,122809,11560,11560540,1,20,05,63
201507,122809,11560,11560540,1,20,06,18
201507,122809,11560,11560540,1,30,00,476
201507,122809,11560,11560540,1,30,01,7
201507,122809,11560,11560540,1,30,02,71
201507,122809,11560,11560540,1,30,03,122
201507,122809,11560,11560540,1,30,04,116
201507,122809,11560,11560540,1,30,05,127
201507,122809,11560,11560540,1,30,06,32
201507,122809,11560,11560540,1,40,00,418
201507,122809,11560,11560540,1,40,01,4
201507,122809,11560,11560540,1,40,02,61
201507,122809,11560,11560540,1,40,03,111
201507,122809,11560,11560540,1,40,04,108
201507,122809,11560,11560540,1,40,05,105
201507,122809,11560,11560540,1,40,06,29
201507,122809,11560,11560540,1,50,00,272
201507,122809,11560,11560540,1,50,01,3
201507,122809,11560,11560540,1,50,02,43
201507,122809,11560,11560540,1,50,03,73
201507,122809,11560,11560540,1,50,04,72
201507,122809,11560,11560540,1,50,05,63
201507,122809,11560,11560540,1,50,06,18
201507,122809,11560,11560540,1,60,00,121
201507,122809,11560,11560540,1,60,01,1
201507,122809,11560,11560540,1,60,02,22
201507,122809,11560,11560540,1,60,03,37
201507,122809,11560,11560540,1,60,04,34
201507,122809,11560,11560540,1,60,05,23
201507,122809,11560,11560540,1,60,06,5
201507,122809,11560,11560540,2,00,00,358
201507,122809,11560,11560540,2,00,01,14
201507,122809,11560,11560540,2,00,02,52
201507,122809,11560,11560540,2,00,03,99
201507,122809,11560,11560540,2,00,04,90
201507,122809,11560,11560540,2,00,05,83
201507,122809,11560,11560540,2,00,06,21
201507,122809,11560,11560540,2,10,00,6
201507,122809,11560,11560540,2,10,01,0
201507,122809,11560,11560540,2,10,02,1
201507,122809,11560,11560540,2,10,03,2
201507,122809,11560,11560540,2,10,04,2
201507,122809,11560,11560540,2,10,05,1
201507,122809,11560,11560540,2,10,06,0
201507,122809,11560,11560540,2,20,00,59
201507,122809,11560,11560540,2,20,01,3
201507,122809,11560,11560540,2,20,02,5
201507,122809,11560,11560540,2,20,03,13
201507,122809,11560,11560540,2,20,04,14
201507,122809,11560,11560540,2,20,05,18
201507,122809,11560,11560540,2,20,06,6
201507,122809,11560,11560540,2,30,00,104
201507,122809,11560,11560540,2,30,01,6
201507,122809,11560,11560540,2,30,02,13
201507,122809,11560,11560540,2,30,03,27
201507,122809,11560,11560540,2,30,04,25
201507,122809,11560,11560540,2,30,05,26
201507,122809,11560,11560540,2,30,06,8
201507,122809,11560,11560540,2,40,00,84
201507,122809,11560,11560540,2,40,01,2
201507,122809,11560,11560540,2,40,02,14
201507,122809,11560,11560540,2,40,03,23
201507,122809,11560,11560540,2,40,04,22
201507,122809,11560,11560540,2,40,05,19
201507,122809,11560,11560540,2,40,06,4
201507,122809,11560,11560540,2,50,00,66
201507,122809,11560,11560540,2,50,01,2
201507,122809,11560,11560540,2,50,02,11
201507,122809,11560,11560540,2,50,03,20
201507,122809,11560,11560540,2,50,04,17
201507,122809,11560,11560540,2,50,05,14
201507,122809,11560,11560540,2,50,06,3
201507,122809,11560,11560540,2,60,00,39
201507,122809,11560,11560540,2,60,01,1
201507,122809,11560,11560540,2,60,02,8
201507,122809,11560,11560540,2,60,03,14
201507,122809,11560,11560540,2,60,04,10
201507,122809,11560,11560540,2,60,05,6
201507,122809,11560,11560540,2,60,06,1
201507,122917,11560,11560540,1,00,00,1447
201507,122917,11560,11560540,1,00,01,17
201507,122917,11560,11560540,1,00,02,243
201507,122917,11560,11560540,1,00,03,329
201507,122917,11560,11560540,1,00,04,357
201507,122917,11560,11560540,1,00,05,389
201507,122917,11560,11560540,1,00,06,111
